matrix,thread_count,approach,time_ms,gflops,BW(GBs),speedup,correctness
thermomech_dK,8,1. Sequential Baseline,3.423311,1.662851,17.3447,1.0000,PASS
thermomech_dK,8,2. OMP Merge-Path Scalar,1.842258,3.089934,32.2302,1.8582,PASS
thermomech_dK,8,3. OMP Merge-Path AVX2,1.308977,4.348782,45.3609,2.6153,PASS
thermomech_dK,8,4. OMP AVX2 Unrolled×2,1.256549,4.530229,47.2535,2.7244,PASS
thermomech_dK,8,5. OMP AVX2+Prefetch(d=32),1.315444,4.327402,45.1379,2.6024,PASS
ASIC_320k,8,1. Sequential Baseline,3.510415,1.501454,16.1147,1.0000,PASS
ASIC_320k,8,2. OMP Merge-Path Scalar,0.958335,5.499880,59.0286,3.6630,PASS
ASIC_320k,8,3. OMP Merge-Path AVX2,1.103366,4.776955,51.2696,3.1816,PASS
ASIC_320k,8,4. OMP AVX2 Unrolled×2,1.285905,4.098846,43.9917,2.7299,PASS
ASIC_320k,8,5. OMP AVX2+Prefetch(d=32),1.303346,4.043997,43.4030,2.6934,PASS
thermomech_dK,8,0. Author Baseline (OmpMergeCsrmv),1.099664,5.176543,53.9950,1.0000,PASS
thermomech_dK,8,1. Sequential Baseline,3.410399,1.669147,17.4104,0.3224,PASS
thermomech_dK,8,2. OMP Merge-Path Scalar,2.223530,2.560098,26.7036,0.4946,PASS
thermomech_dK,8,3. OMP Merge-Path AVX2,1.238456,4.596414,47.9439,0.8879,PASS
thermomech_dK,8,4. OMP AVX2 Unrolled×2,1.311397,4.340758,45.2772,0.8385,PASS
thermomech_dK,8,5. OMP AVX2+Prefetch(d=32),1.412884,4.028961,42.0249,0.7783,PASS
ASIC_320k,8,0. Author Baseline (OmpMergeCsrmv),2.472576,2.131675,22.8786,1.0000,PASS
ASIC_320k,8,1. Sequential Baseline,3.441628,1.531464,16.4367,0.7184,PASS
ASIC_320k,8,2. OMP Merge-Path Scalar,1.130378,4.662801,50.0444,2.1874,PASS
ASIC_320k,8,3. OMP Merge-Path AVX2,1.120264,4.704898,50.4962,2.2071,PASS
ASIC_320k,8,4. OMP AVX2 Unrolled×2,1.383853,3.808734,40.8780,1.7867,PASS
ASIC_320k,8,5. OMP AVX2+Prefetch(d=32),1.379652,3.820331,41.0025,1.7922,PASS
ASIC_320k,8,0. Author Baseline (OmpMergeCsrmv),1.330405,3.961748,42.5202,1.0000,PASS
ASIC_320k,8,1. Sequential Baseline,3.565074,1.478434,15.8676,0.3732,PASS
ASIC_320k,8,2. OMP Merge-Path Scalar,1.098556,4.797868,51.4941,1.2110,PASS
ASIC_320k,8,3. OMP Merge-Path AVX2,1.898404,2.776400,29.7983,0.7008,PASS
ASIC_320k,8,4. OMP AVX2 Unrolled×2,1.546874,3.407342,36.5700,0.8601,PASS
ASIC_320k,8,5. OMP AVX2+Prefetch(d=32),1.503063,3.506658,37.6359,0.8851,PASS
thermomech_dK,8,0. Author Baseline (OmpMergeCsrmv),5.651841,1.007186,10.5057,1.0000,PASS
thermomech_dK,8,1. Sequential Baseline,3.462736,1.643919,17.1472,1.6322,PASS
thermomech_dK,8,2. OMP Merge-Path Scalar,1.328559,4.284683,44.6923,4.2541,PASS
thermomech_dK,8,3. OMP Merge-Path AVX2,1.403427,4.056111,42.3081,4.0272,PASS
thermomech_dK,8,4. OMP AVX2 Unrolled×2,1.316407,4.324237,45.1049,4.2934,PASS
thermomech_dK,8,5. OMP AVX2+Prefetch(d=32),2.554532,2.228376,23.2435,2.2125,PASS
thermomech_dK,8,0. Author Baseline (OmpMergeCsrmv),1.524099,3.734965,38.9583,1.0000,PASS
thermomech_dK,8,1. Sequential Baseline,3.577642,1.591119,16.5965,0.4260,PASS
thermomech_dK,8,2. OMP Merge-Path Scalar,1.240292,4.589609,47.8729,1.2288,PASS
thermomech_dK,8,3. OMP Merge-Path AVX2,0.978778,5.815878,60.6637,1.5571,PASS
thermomech_dK,8,4. OMP AVX2 Unrolled×2,1.282789,4.437563,46.2869,1.1881,PASS
thermomech_dK,8,5. OMP AVX2+Prefetch(d=32),1.606099,3.544275,36.9693,0.9489,PASS
ASIC_320k,8,0. Author Baseline (OmpMergeCsrmv),1.565311,3.367208,36.1392,1.0000,PASS
ASIC_320k,8,1. Sequential Baseline,3.712524,1.419715,15.2374,0.4216,PASS
ASIC_320k,8,2. OMP Merge-Path Scalar,1.272043,4.143515,44.4711,1.2305,PASS
ASIC_320k,8,3. OMP Merge-Path AVX2,2.268646,2.323292,24.9352,0.6900,PASS
ASIC_320k,8,4. OMP AVX2 Unrolled×2,1.662203,3.170929,34.0326,0.9417,PASS
ASIC_320k,8,5. OMP AVX2+Prefetch(d=32),1.543831,3.414058,36.6421,1.0139,PASS
